timestamp,event_value,sensor_value
2019-04-04 11:34:38.550312,lig,light_on_obsrv
2019-04-04 11:34:44.099603,doo,door_off_obsrv
2019-04-04 11:51:25.571079,doo,door_on_obsrv
2019-04-04 11:53:55.095512,doo,door_off_obsrv
2019-04-04 11:59:11.422048,cof,coffee_3_no_obsrv
2019-04-04 11:59:11.422211,doo,door_on_obsrv
2019-04-04 11:59:13.000968,fri,fridge_on_obsrv
2019-04-04 11:59:15.627968,doo,door_off_obsrv
2019-04-04 11:59:16.772717,fri,fridge_off_obsrv
2019-04-04 11:59:39.172262,doo,door_on_obsrv
2019-04-04 11:59:44.589542,doo,door_off_obsrv
2019-04-04 12:00:00.000039,cam,cam_on_obsrv
2019-04-04 12:00:52.003499,fri,fridge_on_obsrv
2019-04-04 12:00:57.051278,fri,fridge_off_obsrv
2019-04-04 12:02:10.052756,fan,fan_on_no_obsrv
2019-04-04 12:04:56.114652,fan,fan_off_no_obsrv
2019-04-04 12:04:56.125051,pc_,pc_on_no_obsrv
2019-04-04 12:04:56.385986,scr,scr_on_obsrv
2019-04-04 12:05:32.615905,doo,door_on_obsrv
2019-04-04 12:05:37.603022,doo,door_off_obsrv
2019-04-04 12:06:03.704204,doo,door_on_obsrv
2019-04-04 12:06:09.680149,doo,door_off_obsrv
2019-04-04 12:10:14.729171,doo,door_on_obsrv
2019-04-04 12:10:21.081815,doo,door_off_obsrv
2019-04-04 12:10:42.402572,doo,door_on_obsrv
2019-04-04 12:10:48.458552,doo,door_off_obsrv
2019-04-04 12:13:18.395051,doo,door_on_obsrv
2019-04-04 12:13:24.440888,doo,door_off_obsrv
2019-04-04 12:14:01.248735,doo,door_on_obsrv
2019-04-04 12:14:06.357051,doo,door_off_obsrv
2019-04-04 12:21:10.015203,doo,door_on_obsrv
2019-04-04 12:21:17.853117,doo,door_off_obsrv
2019-04-04 12:30:59.001826,ran,rang_obsrv
2019-04-04 12:31:04.496971,doo,door_on_obsrv
2019-04-04 12:53:36.147478,scr,scr_off_no_obsrv
2019-04-04 12:57:47.035081,cof,coffee_3_no_obsrv
2019-04-04 12:57:47.035869,doo,door_off_obsrv
2019-04-04 13:00:00.000095,cam,cam_off_obsrv
2019-04-04 13:00:03.512052,fri,fridge_on_obsrv
2019-04-04 13:00:27.365566,fri,fridge_off_obsrv
2019-04-04 13:01:59.281608,scr,scr_on_obsrv
2019-04-04 14:00:00.000000,scr,scr_off_no_obsrv
2019-04-04 14:00:00.000536,cam,cam_on_obsrv
2019-04-04 14:00:03.609402,pc_,pc_off_no_obsrv
2019-04-04 14:00:28.049385,scr,scr_off_no_obsrv
2019-04-04 14:02:55.039206,fan,fan_on_no_obsrv
2019-04-04 14:47:14.978960,fan,fan_off_no_obsrv
2019-04-04 14:47:14.979099,doo,door_on_obsrv
2019-04-04 14:47:20.476064,doo,door_off_obsrv
2019-04-04 14:47:50.383194,doo,door_on_obsrv
2019-04-04 14:47:56.169554,doo,door_off_obsrv
2019-04-04 14:49:36.041019,doo,door_on_obsrv
2019-04-04 14:49:41.111565,doo,door_off_obsrv
2019-04-04 14:51:32.001380,ran,rang_obsrv
2019-04-04 14:51:37.713785,doo,door_on_obsrv
2019-04-04 14:51:42.792580,doo,door_off_obsrv
2019-04-04 15:00:00.000124,cam,cam_off_obsrv
2019-04-04 16:00:00.000029,cam,cam_on_obsrv
2019-04-04 16:02:23.051583,fan,fan_on_no_obsrv
2019-04-04 16:04:39.074269,fan,fan_off_no_obsrv
2019-04-04 16:04:39.083084,pc_,pc_on_no_obsrv
2019-04-04 16:23:34.245563,scr,scr_on_no_obsrv
2019-04-04 16:23:34.245831,lig,light_off_obsrv
2019-04-04 16:47:09.687990,scr,scr_off_no_obsrv
2019-04-04 16:47:09.688067,doo,door_on_obsrv
2019-04-04 16:47:17.998873,doo,door_off_obsrv
2019-04-04 17:00:00.000541,cam,cam_off_obsrv
2019-04-04 17:23:36.939305,scr,scr_on_no_obsrv
2019-04-04 17:23:36.939917,doo,door_on_obsrv
2019-04-04 17:23:47.660324,doo,door_off_obsrv
2019-04-04 17:23:53.761029,doo,door_on_obsrv
2019-04-04 17:23:59.707925,doo,door_off_obsrv
2019-04-04 17:25:38.590139,doo,door_on_obsrv
2019-04-04 17:25:44.037609,doo,door_off_obsrv
2019-04-04 17:39:18.002330,scr,scr_off_no_obsrv
2019-04-04 17:39:18.002539,doo,door_on_obsrv
2019-04-04 17:39:22.880691,lig,light_off_obsrv
2019-04-04 17:39:30.078263,doo,door_off_obsrv
2019-04-04 18:00:00.000261,cam,cam_on_obsrv
2019-04-04 18:00:15.051946,rad,rad_on_obsrv
2019-04-04 18:02:05.074593,fan,fan_on_no_obsrv
2019-04-04 18:02:05.829243,pc_,pc_off_no_obsrv
2019-04-04 18:02:24.051702,scr,scr_off_no_obsrv
2019-04-04 18:32:27.044753,fan,fan_off_no_obsrv
2019-04-04 18:32:27.045056,rad,rad_off_obsrv
2019-04-04 19:00:00.000374,cam,cam_off_obsrv
2019-04-04 19:32:15.159432,shd,shd_down_obsrv
2019-04-04 20:00:00.000089,cam,cam_on_obsrv
2019-04-04 20:01:10.087110,fan,fan_on_no_obsrv
2019-04-04 20:01:10.097060,pc_,pc_on_no_obsrv
2019-04-04 20:02:17.073122,scr,scr_on_no_obsrv
2019-04-04 20:02:17.250104,fan,fan_off_obsrv
2019-04-04 20:05:00.175528,shd,shd_up_obsrv
2019-04-04 20:33:00.111752,fan,fan_on_no_obsrv
2019-04-04 20:33:00.111840,shd,shd_down_obsrv
2019-04-04 20:33:11.113562,fan,fan_off_no_obsrv
2019-04-04 20:33:11.208045,scr,scr_off_obsrv
2019-04-04 21:00:00.000802,cam,cam_off_obsrv
2019-04-04 21:00:49.059834,fan,fan_on_no_obsrv
2019-04-04 21:00:49.169663,scr,scr_on_obsrv
2019-04-04 21:02:22.107550,fan,fan_off_obsrv
2019-04-04 21:04:59.107321,shd,shd_up_obsrv
2019-04-04 21:32:11.076377,fan,fan_on_no_obsrv
2019-04-04 21:32:42.067739,scr,scr_off_no_obsrv
2019-04-04 22:00:00.000000,fan,fan_off_no_obsrv
2019-04-04 22:00:00.000230,cam,cam_on_obsrv
2019-04-04 22:01:22.093423,fan,fan_on_no_obsrv
2019-04-04 22:01:22.685544,pc_,pc_off_no_obsrv
2019-04-04 22:01:22.786549,scr,scr_off_obsrv
2019-04-04 22:03:27.137613,fan,fan_off_no_obsrv
2019-04-04 22:03:27.139556,rad,rad_on_obsrv
2019-04-04 22:16:10.110548,rad,rad_off_obsrv
2019-04-04 22:32:01.045422,fan,fan_on_no_obsrv
2019-04-04 23:00:00.000000,fan,fan_off_no_obsrv
2019-04-04 23:00:00.001643,cam,cam_off_obsrv
2019-04-04 23:02:43.032012,fan,fan_on_no_obsrv
2019-04-04 23:30:20.043629,fan,fan_off_no_obsrv
2019-04-04 23:32:46.086686,fan,fan_on_no_obsrv
2019-04-04 23:32:46.242792,fan,fan_off_obsrv
