timestamp,event_value,sensor_value
2019-04-04 11:29:06.904026,door_on,door_on_obsrv
2019-04-04 11:29:08.490427,light_off,light_off_obsrv
2019-04-04 11:29:12.577028,door_off,door_off_obsrv
2019-04-04 11:34:24.000623,rang,rang_obsrv
2019-04-04 11:34:35.905558,door_on,door_on_obsrv
2019-04-04 11:34:38.550312,light_on,light_on_obsrv
2019-04-04 11:34:44.099603,door_off,door_off_obsrv
2019-04-04 11:51:25.571079,door_on,door_on_obsrv
2019-04-04 11:53:55.095512,door_off,door_off_obsrv
2019-04-04 11:54:32.020602,coffee_3,coffee_3_obsrv
2019-04-04 11:59:11.422211,door_on,door_on_obsrv
2019-04-04 11:59:13.000968,fridge_on,fridge_on_obsrv
2019-04-04 11:59:15.627968,door_off,door_off_obsrv
2019-04-04 11:59:16.772717,fridge_off,fridge_off_obsrv
2019-04-04 11:59:39.172262,door_on,door_on_obsrv
2019-04-04 11:59:44.589542,door_off,door_off_obsrv
2019-04-04 12:00:00.000039,cam_on,cam_on_obsrv
2019-04-04 12:00:52.003499,fridge_on,fridge_on_obsrv
2019-04-04 12:00:57.051278,fridge_off,fridge_off_obsrv
2019-04-04 12:00:57.468721,fan_on,fan_on_obsrv
2019-04-04 12:02:10.674569,fan_off,fan_off_obsrv
2019-04-04 12:04:56.125051,pc_on,pc_on_no_obsrv
2019-04-04 12:04:56.385986,scr_on,scr_on_obsrv
2019-04-04 12:05:32.615905,door_on,door_on_obsrv
2019-04-04 12:05:37.603022,door_off,door_off_obsrv
2019-04-04 12:06:03.704204,door_on,door_on_obsrv
2019-04-04 12:06:09.680149,door_off,door_off_obsrv
2019-04-04 12:10:14.729171,door_on,door_on_obsrv
2019-04-04 12:10:21.081815,door_off,door_off_obsrv
2019-04-04 12:10:42.402572,door_on,door_on_obsrv
2019-04-04 12:10:48.458552,door_off,door_off_obsrv
2019-04-04 12:13:18.395051,door_on,door_on_obsrv
2019-04-04 12:13:24.440888,door_off,door_off_obsrv
2019-04-04 12:14:01.248735,door_on,door_on_obsrv
2019-04-04 12:14:06.357051,door_off,door_off_obsrv
2019-04-04 12:21:10.015203,door_on,door_on_obsrv
2019-04-04 12:21:17.853117,door_off,door_off_obsrv
2019-04-04 12:30:59.001826,rang,rang_obsrv
2019-04-04 12:31:04.496971,door_on,door_on_obsrv
